               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2, metrics/crazing_mAP,metrics/inclusion_mAP, metrics/patches_mAP,metrics/pitted_surface_mAP,metrics/rolled-in_scale_mAP,metrics/scratches_mAP,metrics/crazing_mAP_50,metrics/inclusion_mAP_50,metrics/patches_mAP_50,metrics/pitted_surface_mAP_50,metrics/rolled-in_scale_mAP_50,metrics/scratches_mAP_50
                   0,            0.092628,            0.039821,            0.049779,           0.0048308,             0.49933,            0.027605,           0.0075906,            0.060352,            0.021011,             0.03956,            0.070375,           0.0032917,           0.0032917,             0.02145,          0.00041988,            0.020853,           0.0010792,             0.00148,          0.00026232,             0.07798,           0.0013861,            0.076258,           0.0033802,           0.0054817,           0.0011458
                   1,            0.064378,            0.042445,            0.031794,             0.04465,             0.11625,             0.04957,            0.013659,            0.058709,            0.019605,            0.031652,            0.040047,           0.0062971,           0.0062971,            0.004789,             0.01913,            0.040482,           0.0054497,           0.0035729,           0.0085307,            0.024802,            0.065005,             0.14618,            0.024827,            0.010662,            0.025946
                   2,            0.058447,            0.036299,            0.016459,             0.18352,             0.32557,             0.18346,            0.061674,            0.049442,            0.017552,            0.017343,           0.0093891,           0.0089725,           0.0089725,           0.0056164,             0.08535,             0.15902,            0.064108,            0.032721,            0.023226,            0.023987,             0.25309,             0.36532,             0.27681,             0.10077,            0.080791
                   3,            0.055344,            0.035328,           0.0093909,              0.3918,             0.34113,             0.28765,             0.11832,            0.044753,            0.016764,            0.021755,            0.008515,            0.008515,            0.008515,             0.04679,             0.17509,             0.25941,             0.14318,            0.036151,            0.049294,             0.14775,             0.42021,             0.59901,             0.28903,             0.13015,             0.13973
                   4,            0.051497,            0.034565,           0.0076864,             0.51719,             0.37239,               0.399,             0.17325,            0.037522,            0.017113,           0.0098579,            0.008515,            0.008515,            0.008515,            0.089183,             0.21758,             0.41248,             0.10025,            0.071251,             0.14877,             0.27602,             0.52436,             0.78822,             0.24821,             0.19305,             0.36415
                   5,            0.049104,            0.033267,           0.0064571,             0.54224,             0.38484,             0.37459,              0.1559,            0.039615,            0.016825,            0.015574,             0.00802,             0.00802,             0.00802,            0.026635,             0.15954,             0.40783,              0.1284,             0.08378,             0.12918,             0.10946,             0.38789,             0.77495,             0.31856,             0.24889,             0.40777
                   6,            0.046688,            0.034584,           0.0062145,             0.54399,             0.36551,             0.38416,             0.17472,            0.038118,            0.016993,            0.013583,            0.007525,            0.007525,            0.007525,            0.022965,              0.2826,             0.40186,            0.056859,            0.090942,             0.19308,            0.077275,             0.58881,             0.71102,             0.17105,             0.22537,             0.53145
                   7,            0.044884,            0.034707,           0.0042841,             0.49597,             0.53478,               0.515,             0.22215,            0.035914,            0.015415,            0.007537,             0.00703,             0.00703,             0.00703,             0.12026,             0.26798,             0.42203,             0.13316,             0.17665,             0.21282,             0.38279,             0.54508,             0.80772,             0.36906,             0.40535,             0.58001
                   8,            0.043463,             0.03435,           0.0043769,             0.49275,              0.5775,             0.57023,             0.23956,            0.035815,            0.015224,           0.0075742,            0.006535,            0.006535,            0.006535,             0.12686,             0.20103,             0.44132,             0.24484,             0.18503,             0.23826,             0.40585,             0.58396,              0.8172,             0.55533,             0.52443,             0.53463
                   9,            0.043147,            0.033473,            0.004228,               0.456,              0.6034,             0.55091,             0.24338,            0.035605,            0.015764,           0.0052629,             0.00604,             0.00604,             0.00604,             0.11336,              0.3483,             0.43463,             0.23226,             0.10845,              0.2233,             0.37015,             0.72676,             0.84469,             0.52338,             0.29785,             0.54265
